filename,source,source_url,license
clean_001.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_002.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_003.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_004.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_005.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_006.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_007.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_008.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_009.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_010.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_011.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_012.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_013.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_014.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_015.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_016.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
clean_017.jpg,Kaggle Flickr8K,https://www.kaggle.com/datasets/dibyansudiptiman/flickr-8k,CC0 Public Domain
